IP Address,Device Family,Site
10.90.208.69,Switches and Hubs,Global/Canada/Saskatchewan/LCL Stores/Store 01535
10.90.208.68,Switches and Hubs,Global/Canada/Saskatchewan/LCL Stores/Store 01535
10.90.208.67,Switches and Hubs,Global/Canada/Saskatchewan/LCL Stores/Store 01535
10.90.208.66,Switches and Hubs,Global/Canada/Saskatchewan/LCL Stores/Store 01535
10.90.208.65,Switches and Hubs,Global/Canada/Saskatchewan/LCL Stores/Store 01535
10.90.200.69,Switches and Hubs,Global/Canada/Saskatchewan/LCL Stores/Store 01585
10.90.200.68,Switches and Hubs,Global/Canada/Saskatchewan/LCL Stores/Store 01585
10.90.200.67,Switches and Hubs,Global/Canada/Saskatchewan/LCL Stores/Store 01585
10.90.200.66,Switches and Hubs,Global/Canada/Saskatchewan/LCL Stores/Store 01585
10.90.200.65,Switches and Hubs,Global/Canada/Saskatchewan/LCL Stores/Store 01585
10.90.184.65,Switches and Hubs,Global/Canada/Saskatchewan/LCL Stores/Store 07077
10.90.128.65,Switches and Hubs,Global/Canada/Saskatchewan/LCL Stores/Store 07329
10.89.104.65,Switches and Hubs,Global/Canada/Saskatchewan/LCL Stores/Store 09694
